technique_id,technique_name,tactic,families
T1021.003,,,Cobalt Strike
T1021.004,,,Cobalt Strike|Kinsing|Qilin|reGeorg
T1021.005,,,Carberp|DanBot|Latrodectus|Proton|TrickBot|WarzoneRAT|ZxShell
T1021.006,,,Cobalt Strike
T1025,,,AppleSeed|Aria-body|BADNEWS|CosmicDuke|Crimson|Crutch|Explosive|FLASHFLOOD|FunnyDream|GravityRAT|InvisiMole|Machete|MgBot|ObliqueRAT|Prikormka|Ramsay|Remsec|Rover|TajMahal|USBStealer
T1027,,,ADVSTORESHELL|ANELLDR|Action RAT|Agent Tesla|Amadey|Anchor|AppleJeus|AppleSeed|Avaddon|AvosLocker|BOOKWORM|BPFDoor|BRICKSTORM|BUSHWALK|BoomBox|BoxCaon|Bumblebee|Bundlore|CHIMNEYSWEEP|COATHANGER|CORESHELL|Carbanak|Carbon|Clambling|Cobalt Strike|CoinTicker|ComRAT|Comnie|Conficker|Conti|Cuba|DRATzarus|DarkGate|DarkTortilla|Daserf|Denis|Diavol|Dridex|Drovorub|DustySky|ECCENTRICBANDWAGON|EKANS|Ebury|Ecipekac|Epic|FatDuke|FinFisher|Final1stspy|Flagpro|Fooder|Gootloader|Green Lambert|GrimAgent|H1N1|HTTPBrowser|HTTPTroy|Hancitor|Hydraq|ISMInjector|Industroyer|InnaputRAT|InvisiMole|JPIN|Kazuar|KillDisk|Kobalos|LODEINFO|Lizar|Lokibot|Lumma Stealer|Matryoshka|Maze|MiniDuke|NETWIRE|NOKKI|NOOPLDR|NanoCore|NightClub|OLDBAIT|OopsIE|Orz|P.A.S. Webshell|POSHSPY|PUBLOAD|PUNCHBUGGY|PUNCHTRACK|Pillowmint|Pisloader|PlugX|PoetRAT|PoisonIvy|PolyglotDuke|PowerStallion|QakBot|ROKRAT|RTM|Ramsay|Raspberry Robin|RegDuke|RustyWater|Ryuk|SDBbot|SHOTPUT|SLOWPULSE|SUNBURST|SUNSPOT|SVCReady|Saint Bot|Samurai|Sardonic|ShadowPad|Shai-Hulud|Shamoon|Siloscape|Small Sieve|Snip3|SodaMaster|SombRAT|SoreFang|StreamEx|StrelaStealer|SynAck|TEARDROP|TajMahal|TrickBot|Trojan.Karagany|Turian|Valak|XTunnel|jRAT
T1027.001,,,Bisonal|Black Basta|CHIMNEYSWEEP|Caminho|Comnie|CostaBricks|Emissary|Emotet|Goopy|Grandoreiro|GrimAgent|HeartCrypt|Javali|Kwampirs|Latrodectus|LightSpy|PlugX|QakBot|Rifdoor|Snip3|TAINTEDSCRIBE|TONESHELL
T1027.002,,,Anchor|AppleSeed|Astaroth|BLINDINGCAN|Babuk|Bazar|Bisonal|COATHANGER|China Chopper|Clop|CostaBricks|Cuba|DRATzarus|DarkComet|Daserf|Dok|Dyre|Egregor|Emotet|FYAnti|FatDuke|FinFisher|GoldMax|GreyEnergy|H1N1|HeartCrypt|Hildegard|HotCroissant|HyperBro|IcedID|KONNI|Latrodectus|LiteDuke|LockBit 3.0|Lokibot|Lucifer|Machete|Melcoz|Metamorfo|Misdat|Mongall|NETWIRE|OSX_OCEANLOTUS.D|OopsIE|QakBot|Raindrop|Raspberry Robin|RedLine Stealer|S-Type|SDBbot|Sagerunex|Saint Bot|SeaDuke|ShimRat|Spark|Squirrelwaffle|StrelaStealer|SysUpdate|Tomiris|Torisma|TrickBot|Trojan.Karagany|Troll Stealer|Uroburos|VERMIN|Valak|XLoader|Zebrocy|ZeroT|jRAT|yty
T1027.003,,,ABK|Avenger|BBK|Bandook|Diavol|IcedID|LiteDuke|ObliqueRAT|Okrum|Pikabot|PolyglotDuke|PowerDuke|ProLock|RDAT|Raindrop|Ramsay|RegDuke|build_downer
T1027.004,,,Cardinal RAT|DarkWatchman|FoggyWeb|Samurai|njRAT
T1027.005,,,Cobalt Strike|Daserf|GravityRAT|InvisiMole|Penquin|QakBot|SUNBURST|Waterbear
