canonical_name,aliases,classification,description,uuid,source_cluster
DCHSpy,,malware,"According to Lookout, DCHSpy is an Android surveillanceware tool leveraged by Iranian cyber espionage group MuddyWater. DCHSpy collects WhatsApp data, accounts, contacts, SMS, files, location, and call logs, and can record audio and take photos.",d70da110-3e0d-475d-8dd2-d8614f07a3ae,malpedia.json
DEFENSOR ID,Defensor Digital,malware,,76346e4d-d14e-467b-9409-82b28a4d6cd6,malpedia.json
Dendroid,,malware,,89989df2-e8bc-4074-a8a2-130a15d6625f,malpedia.json
dmsSpy,,malware,,72a25832-4bf4-4505-a77d-8c0fc52dc85d,malpedia.json
DoubleAgent,,malware,,73fd1bda-e4aa-4777-a628-07580bc070f4,malpedia.json
DoubleLocker,,malware,,10d0115a-00b4-414e-972b-8320a2bb873c,malpedia.json
Dracarys,,malware,"Android malware that impersonates genuine applications such as Signal, Telegram, WhatsApp, YouTube, and other chat applications and distributes through phishing sites.",bf94eee6-2274-40f4-b181-2b49ce6ef9fb,malpedia.json
DragonEgg,LightSpy,malware,Android variant of ios.LightSpy.,4ef28f14-17f4-4f87-a292-e63b42027c8c,malpedia.json
DroidBot,,malware,"According to Cleafy, DroidBot is a modern RAT that combines hidden VNC and overlay attack techniques with spyware-like capabilities, such as keylogging and user interface monitoring. Moreover, it leverages dual-channel communication, transmitting outbound data through MQTT and receiving inbound commands via HTTPS, providing enhanced operation flexibility and resilience.",1e0562cd-981a-4b81-b813-9a59fff6fb71,malpedia.json
DroidJack,,malware,,8990cec7-ddd8-435e-97d6-5b36778e86fe,malpedia.json
DroidLock,,malware,"According to Zimperium, DroidLock has the ability to lock device screens with a ransomware-like overlay and illegally acquire app lock credentials, leading to a total takeover of the compromised device.

It employs deceptive system update screens to trick victims and can stream and remotely control devices via VNC. The malware also exploits device administrator privileges to lock or erase data, capture the victim's image with the front camera, and silence the device. Overall, it utilizes 15 di",2f3b54fe-6a17-4584-a6bb-ebcdb755624d,malpedia.json
DroidWatcher,,malware,,15f3e50b-9fa5-4eab-ac2b-928e9ce03b72,malpedia.json
DualToy (Android),,malware,,8269e779-db23-4c94-aafb-36ee94879417,malpedia.json
Dvmap,,malware,,e5de818e-d25d-47a8-ab31-55fc992bf91b,malpedia.json
